ID,YearlyPayment,MontlyPayment
1039,2985.06,248.76
1040,5474.68,456.22
1041,4391.84,365.99
1042,6184.90,515.41
1043,4062.14,338.51
1044,4704.06,392.01
1045,4162.06,346.84
1046,3862.64,321.89
1047,7951.36,662.61
1048,4451.54,370.96
1049,2615.26,217.94
1050,3192.13,266.01
1051,2465.54,205.46
1052,6778.56,564.88
1053,3716.96,309.75
1054,2009.26,167.44
1055,7088.46,590.70
1056,5532.90,461.08
1057,2459.25,204.94
1058,5232.78,436.07
1059,3433.92,286.16
1060,3858.66,321.56
1061,4112.46,342.71
1062,6782.91,565.24
1063,2873.34,239.44
1064,5627.02,468.92
1065,2333.29,194.44
1066,6392.20,532.68
1067,5690.86,474.24
1068,7078.64,589.89
1069,2401.79,200.15
1070,1883.34,156.95
1071,2979.15,248.26
1072,5639.10,469.92
1073,5937.28,494.77
1074,3184.73,265.39
1075,4970.34,414.20
1076,5115.74,426.31
1077,3944.46,328.71
1078,4028.29,335.69
1079,6545.76,545.48
1080,2062.32,171.86
1081,1839.54,153.29
1082,3989.66,332.47
1083,3936.38,328.03
1084,3420.76,285.06
1085,4478.12,373.18
1086,4628.93,385.74
1087,4988.70,415.73
1088,4606.08,383.84
1089,3408.06,284.01
1090,3064.64,255.39
1091,2017.56,168.13
1092,4917.68,409.81
1093,2477.34,206.45
1094,4803.34,400.28
1095,5499.82,458.32
1096,6559.66,546.64
1097,1919.52,159.96
1098,3036.30,253.03
1099,3882.86,323.57
1100,4834.46,402.87
1101,7066.94,588.91
1102,2715.84,226.32
1103,3346.94,278.91
1104,6316.50,526.37
1105,2699.80,224.98
1106,7140.74,595.06
1107,1680.50,140.04
1108,4073.76,339.48
1109,2547.24,212.27
1110,1218.85,101.57
1111,3258.46,271.54
1112,3580.46,298.37
1113,4001.24,333.44
1114,4280.22,356.68
1115,5580.77,465.06
1116,4633.22,386.10
1117,3119.90,259.99
1118,5306.94,442.25
1119,3261.66,271.81
1120,5050.84,420.90
1121,1459.43,121.62
1122,2902.82,241.90
1123,6406.88,533.91
1124,6330.90,527.58
1125,3782.55,315.21
1126,4028.26,335.69
1127,3270.90,272.58
1128,3649.01,304.08
1129,1956.26,163.02
1130,3438.36,286.53
1131,4538.62,378.22
1132,4346.66,362.22
1133,3808.78,317.40
1134,3390.71,282.56
1135,4835.86,402.99
1136,4999.95,416.66
1137,4522.16,376.85
1138,3330.72,277.56
1139,3665.17,305.43
1140,3087.94,257.33
1141,3808.22,317.35
1142,5375.00,447.92
1143,4070.35,339.20
1144,1580.58,131.72
1145,4015.38,334.62
1146,2362.54,196.88
1147,3405.74,283.81
1148,3440.30,286.69
1149,6265.18,522.10
1150,3037.26,253.11
1151,4110.54,342.55
1152,3880.12,323.34
1153,5671.66,472.64
1154,5114.77,426.23
1155,2890.30,240.86
1156,1976.92,164.74
1157,4462.50,371.88
1158,4014.04,334.50
1159,5804.12,483.68
1160,1948.64,162.39
1161,3152.30,262.69
1162,4039.85,336.65
1163,3076.68,256.39
1164,6876.70,573.06
1165,1974.78,164.57
1166,2731.11,227.59
1167,3891.32,324.28
1168,2816.00,234.67
1169,1781.30,148.44
1170,4703.00,391.92
1171,1767.04,147.25
1172,3209.58,267.47
1173,6132.72,511.06
1174,8260.67,688.39
1175,1780.94,148.41
1176,1670.48,139.21
1177,7264.88,605.41
1178,1537.70,128.14
1179,6455.38,537.95
1180,3640.04,303.34
1181,2676.12,223.01
1182,5245.72,437.14
1183,4882.40,406.87
1184,3516.02,293.00
1185,2204.23,183.69
1186,7579.73,631.64
1187,3464.82,288.74
1188,2183.14,181.93
1189,5009.21,417.43
1190,3041.88,253.49
1191,6731.80,560.98
1192,1877.66,156.47
1193,1987.10,165.59
1194,4892.60,407.72
1195,5091.62,424.30
1196,4553.84,379.49
1197,3488.54,290.71
1198,5516.48,459.71
1199,6153.04,512.75
1200,3249.84,270.82
1201,5721.04,476.75
1202,5832.45,486.04
1203,3782.10,315.18
1204,4112.58,342.71
1205,3144.70,262.06
1206,4523.42,376.95
1207,2917.22,243.10
1208,2750.89,229.24
1209,5658.64,471.55
1210,3008.62,250.72
1211,6513.26,542.77
1212,2608.58,217.38
1213,2304.06,192.01
1214,4765.46,397.12
1215,2946.64,245.55
1216,3168.90,264.08
1217,5779.06,481.59
1218,1993.16,166.10
1219,4444.40,370.37
1220,5151.18,429.26
1221,5358.61,446.55
1222,6053.73,504.48
1223,4627.80,385.65
1224,3400.76,283.40
1225,6116.34,509.70
1226,2587.46,215.62
1227,5577.52,464.79
1228,3889.42,324.12
1229,3428.16,285.68
1230,4683.28,390.27
1231,3002.70,250.23
1232,4430.65,369.22
1233,2058.24,171.52
1234,7085.24,590.44
1235,4511.69,375.97
1236,3222.62,268.55
1237,3535.14,294.60
1238,4918.80,409.90
1239,2737.98,228.17
1240,4284.62,357.05
1241,1696.18,141.35
